index_col,src,dst,src_cid,dst_cid,flow,total,weight
"('productpage-v1', 0, 'details-v1')",productpage-v1,details-v1,0,0,40,40,1.0
"('ingress_gw', 0, 'productpage-v1')",ingress_gw,productpage-v1,0,0,30,30,1.0
"('productpage-v1', 1, 'details-v1')",productpage-v1,details-v1,1,0,4,52,0.07692307692307693
"('ingress_gw', 1, 'productpage-v1')",ingress_gw,productpage-v1,1,0,10,61,0.16393442622950818
"('productpage-v1', 1, 'details-v1')",productpage-v1,details-v1,1,1,48,52,0.9230769230769231
"('ingress_gw', 1, 'productpage-v1')",ingress_gw,productpage-v1,1,1,51,61,0.8360655737704918
"('SOURCE', -1, 'ingress_gw')",SOURCE,ingress_gw,-1,0,30,90,0.3333333333333333
"('SOURCE', -1, 'ingress_gw')",SOURCE,ingress_gw,-1,1,60,90,0.6666666666666666
