,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
,0,sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-east-1,us-east-1,25,25,1.0
,0,sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-west-1,us-east-1,239,601,0.39767054908485855
,0,sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-west-1,us-west-1,362,601,0.6023294509151415
,0,sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-east-1,us-east-1,700,700,1.0
,0,sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-west-1,us-west-1,400,400,1.0
,0,SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-east-1,25,625,0.04
,0,SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-west-1,600,625,0.96
,0,SOURCE,sslateingress,SOURCE,sslateingress@POST@/multicore,XXXX,us-east-1,700,1100,0.6363636363636364
,0,SOURCE,sslateingress,SOURCE,sslateingress@POST@/multicore,XXXX,us-west-1,400,1100,0.36363636363636365
