,src_endpoint,src_cid,dst_endpoint,dst_cid,min_network_time,max_network_time,max_load,min_load,min_egress_cost,max_egress_cost
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/singlecore#us-south-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/singlecore,us-south-1,0,0,,,0,0
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/singlecore#us-east-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/singlecore,us-east-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/singlecore#us-west-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/singlecore,us-west-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/singlecore#us-central-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/singlecore,us-central-1,20,20,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/singlecore#us-south-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/singlecore,us-south-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/singlecore#us-east-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/singlecore,us-east-1,0,0,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/singlecore#us-west-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/singlecore,us-west-1,66,66,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/singlecore#us-central-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/singlecore,us-central-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/singlecore#us-south-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/singlecore,us-south-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/singlecore#us-east-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/singlecore,us-east-1,66,66,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/singlecore#us-west-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/singlecore,us-west-1,0,0,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/singlecore#us-central-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/singlecore,us-central-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/singlecore#us-south-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/singlecore,us-south-1,20,20,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/singlecore#us-east-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/singlecore,us-east-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/singlecore#us-west-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/singlecore,us-west-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/singlecore#us-central-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/singlecore,us-central-1,0,0,,,0,0
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/multicore#us-south-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/multicore,us-south-1,0,0,,,0,0
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/multicore#us-east-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/multicore,us-east-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/multicore#us-west-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/multicore,us-west-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-south-1#end', 'sslateingress@POST@/multicore#us-central-1#start')",corecontrast@POST@/singlecore,us-south-1,sslateingress@POST@/multicore,us-central-1,20,20,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/multicore#us-south-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/multicore,us-south-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/multicore#us-east-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/multicore,us-east-1,0,0,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/multicore#us-west-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/multicore,us-west-1,66,66,,,0,0
"('corecontrast@POST@/singlecore#us-east-1#end', 'sslateingress@POST@/multicore#us-central-1#start')",corecontrast@POST@/singlecore,us-east-1,sslateingress@POST@/multicore,us-central-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/multicore#us-south-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/multicore,us-south-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/multicore#us-east-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/multicore,us-east-1,66,66,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/multicore#us-west-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/multicore,us-west-1,0,0,,,0,0
"('corecontrast@POST@/singlecore#us-west-1#end', 'sslateingress@POST@/multicore#us-central-1#start')",corecontrast@POST@/singlecore,us-west-1,sslateingress@POST@/multicore,us-central-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/multicore#us-south-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/multicore,us-south-1,20,20,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/multicore#us-east-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/multicore,us-east-1,40,40,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/multicore#us-west-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/multicore,us-west-1,30,30,,,0,0
"('corecontrast@POST@/singlecore#us-central-1#end', 'sslateingress@POST@/multicore#us-central-1#start')",corecontrast@POST@/singlecore,us-central-1,sslateingress@POST@/multicore,us-central-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/singlecore#us-south-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/singlecore,us-south-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/singlecore#us-east-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/singlecore,us-east-1,30,30,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/singlecore#us-west-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/singlecore,us-west-1,40,40,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/singlecore#us-central-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/singlecore,us-central-1,20,20,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/singlecore#us-south-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/singlecore,us-south-1,30,30,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/singlecore#us-east-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/singlecore,us-east-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/singlecore#us-west-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/singlecore,us-west-1,66,66,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/singlecore#us-central-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/singlecore,us-central-1,40,40,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/singlecore#us-south-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/singlecore,us-south-1,40,40,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/singlecore#us-east-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/singlecore,us-east-1,66,66,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/singlecore#us-west-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/singlecore,us-west-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/singlecore#us-central-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/singlecore,us-central-1,30,30,,,0,0
"('sslateingress@POST@/singlecore#us-central-1#end', 'corecontrast@POST@/singlecore#us-south-1#start')",sslateingress@POST@/singlecore,us-central-1,corecontrast@POST@/singlecore,us-south-1,20,20,,,0,0
"('sslateingress@POST@/singlecore#us-central-1#end', 'corecontrast@POST@/singlecore#us-east-1#start')",sslateingress@POST@/singlecore,us-central-1,corecontrast@POST@/singlecore,us-east-1,40,40,,,0,0
"('sslateingress@POST@/singlecore#us-central-1#end', 'corecontrast@POST@/singlecore#us-west-1#start')",sslateingress@POST@/singlecore,us-central-1,corecontrast@POST@/singlecore,us-west-1,30,30,,,0,0
"('sslateingress@POST@/singlecore#us-central-1#end', 'corecontrast@POST@/singlecore#us-central-1#start')",sslateingress@POST@/singlecore,us-central-1,corecontrast@POST@/singlecore,us-central-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/multicore#us-south-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/multicore,us-south-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/multicore#us-east-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/multicore,us-east-1,30,30,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/multicore#us-west-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/multicore,us-west-1,40,40,,,0,0
"('sslateingress@POST@/singlecore#us-south-1#end', 'corecontrast@POST@/multicore#us-central-1#start')",sslateingress@POST@/singlecore,us-south-1,corecontrast@POST@/multicore,us-central-1,20,20,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/multicore#us-south-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/multicore,us-south-1,30,30,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/multicore#us-east-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/multicore,us-east-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/multicore#us-west-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/multicore,us-west-1,66,66,,,0,0
"('sslateingress@POST@/singlecore#us-east-1#end', 'corecontrast@POST@/multicore#us-central-1#start')",sslateingress@POST@/singlecore,us-east-1,corecontrast@POST@/multicore,us-central-1,40,40,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/multicore#us-south-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/multicore,us-south-1,40,40,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/multicore#us-east-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/multicore,us-east-1,66,66,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/multicore#us-west-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/multicore,us-west-1,0,0,,,0,0
"('sslateingress@POST@/singlecore#us-west-1#end', 'corecontrast@POST@/multicore#us-central-1#start')",sslateingress@POST@/singlecore,us-west-1,corecontrast@POST@/multicore,us-central-1,30,30,,,0,0
"('sslateingress@POST@/singlecore#us-central-1#end', 'corecontrast@POST@/multicore#us-south-1#start')",sslateingress@POST@/singlecore,us-central-1,corecontrast@POST@/multicore,us-south-1,20,20,,,0,0
"('sslateingress@POST@/singlecore#us-central-1#end', 'corecontrast@POST@/multicore#us-east-1#start')",sslateingress@POST@/singlecore,us-central-1,corecontrast@POST@/multicore,us-east-1,40,40,,,0,0
