,svc_name,src_cid,dst_cid,call_size,max_load,min_load,observed_x,observed_y,coef,min_compute_latency,endpoint,method,url
"('corecontrast@POST@/multicore#us-east-1#start', 'corecontrast@POST@/multicore#us-east-1#end')",corecontrast,us-east-1,us-east-1,0,100000,0,,,"{'corecontrast@POST@/multicore': 1.5785148062818793e-05, 'intercept': 1.9240140694030592}",0,corecontrast@POST@/multicore,POST,/multicore
"('corecontrast@POST@/singlecore#us-east-1#start', 'corecontrast@POST@/singlecore#us-east-1#end')",corecontrast,us-east-1,us-east-1,0,100000,0,,,"{'corecontrast@POST@/singlecore': 0.0010205703179596, 'intercept': 1}",0,corecontrast@POST@/singlecore,POST,/singlecore
"('sslateingress@POST@/singlecore#us-east-1#start', 'sslateingress@POST@/singlecore#us-east-1#end')",sslateingress,us-east-1,us-east-1,0,100000,0,,,"{'sslateingress@POST@/singlecore': 3.6904892439390018e-06, 'intercept': 2.307072443509285}",0,sslateingress@POST@/singlecore,POST,/singlecore
"('sslateingress@POST@/multicore#us-east-1#start', 'sslateingress@POST@/multicore#us-east-1#end')",sslateingress,us-east-1,us-east-1,0,100000,0,,,"{'sslateingress@POST@/multicore': 2.924830884565147e-06, 'intercept': 1.5162914348461003}",0,sslateingress@POST@/multicore,POST,/multicore
"('corecontrast@POST@/multicore#us-west-1#start', 'corecontrast@POST@/multicore#us-west-1#end')",corecontrast,us-west-1,us-west-1,0,100000,0,,,"{'corecontrast@POST@/multicore': 1.5785148062818793e-05, 'intercept': 1.9240140694030592}",0,corecontrast@POST@/multicore,POST,/multicore
"('corecontrast@POST@/singlecore#us-west-1#start', 'corecontrast@POST@/singlecore#us-west-1#end')",corecontrast,us-west-1,us-west-1,0,100000,0,,,"{'corecontrast@POST@/singlecore': 0.0010205703179596, 'intercept': 1}",0,corecontrast@POST@/singlecore,POST,/singlecore
"('sslateingress@POST@/singlecore#us-west-1#start', 'sslateingress@POST@/singlecore#us-west-1#end')",sslateingress,us-west-1,us-west-1,0,100000,0,,,"{'sslateingress@POST@/singlecore': 3.6904892439390018e-06, 'intercept': 2.307072443509285}",0,sslateingress@POST@/singlecore,POST,/singlecore
"('sslateingress@POST@/multicore#us-west-1#start', 'sslateingress@POST@/multicore#us-west-1#end')",sslateingress,us-west-1,us-west-1,0,100000,0,,,"{'sslateingress@POST@/multicore': 2.924830884565147e-06, 'intercept': 1.5162914348461003}",0,sslateingress@POST@/multicore,POST,/multicore
