,src_endpoint,src_cid,dst_endpoint,dst_cid,min_network_time,max_network_time,max_load,min_load,min_egress_cost,max_egress_cost
"('frontend@POST@/cart/checkout#us-central-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-central-1#start')",frontend@POST@/cart/checkout,us-central-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,0,0,,,0.0,0.0
"('frontend@POST@/cart/checkout#us-central-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-east-1#start')",frontend@POST@/cart/checkout,us-central-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,40,40,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-central-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-south-1#start')",frontend@POST@/cart/checkout,us-central-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-south-1,20,20,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-central-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-west-1#start')",frontend@POST@/cart/checkout,us-central-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,30,30,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-east-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-central-1#start')",frontend@POST@/cart/checkout,us-east-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,40,40,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-east-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-east-1#start')",frontend@POST@/cart/checkout,us-east-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,0,0,,,0.0,0.0
"('frontend@POST@/cart/checkout#us-east-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-south-1#start')",frontend@POST@/cart/checkout,us-east-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-south-1,30,30,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-east-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-west-1#start')",frontend@POST@/cart/checkout,us-east-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,66,66,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-south-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-central-1#start')",frontend@POST@/cart/checkout,us-south-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,20,20,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-south-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-east-1#start')",frontend@POST@/cart/checkout,us-south-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,30,30,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-south-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-south-1#start')",frontend@POST@/cart/checkout,us-south-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-south-1,0,0,,,0.0,0.0
"('frontend@POST@/cart/checkout#us-south-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-west-1#start')",frontend@POST@/cart/checkout,us-south-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,40,40,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-west-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-central-1#start')",frontend@POST@/cart/checkout,us-west-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,30,30,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-west-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-east-1#start')",frontend@POST@/cart/checkout,us-west-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,66,66,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-west-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-south-1#start')",frontend@POST@/cart/checkout,us-west-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-south-1,40,40,,,54.42,54.42
"('frontend@POST@/cart/checkout#us-west-1#end', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations#us-west-1#start')",frontend@POST@/cart/checkout,us-west-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,0,0,,,0.0,0.0
"('SOURCE#XXXX#end', 'sslateingress@POST@/cart/checkout#us-central-1#start')",SOURCE,XXXX,sslateingress@POST@/cart/checkout,us-central-1,0,0,,,0.0,0.0
"('SOURCE#XXXX#end', 'sslateingress@POST@/cart/checkout#us-east-1#start')",SOURCE,XXXX,sslateingress@POST@/cart/checkout,us-east-1,0,0,,,0.0,0.0
"('SOURCE#XXXX#end', 'sslateingress@POST@/cart/checkout#us-south-1#start')",SOURCE,XXXX,sslateingress@POST@/cart/checkout,us-south-1,0,0,,,0.0,0.0
"('SOURCE#XXXX#end', 'sslateingress@POST@/cart/checkout#us-west-1#start')",SOURCE,XXXX,sslateingress@POST@/cart/checkout,us-west-1,0,0,,,0.0,0.0
