index_col,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-south-1,us-south-1,308,308,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-west-1,us-west-1,289,289,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-central-1', 'paymentservice@POST@/hipstershop.PaymentService/Charge')",checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-central-1,us-central-1,344,344,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'paymentservice@POST@/hipstershop.PaymentService/Charge')",checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-east-1,us-east-1,361,361,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'paymentservice@POST@/hipstershop.PaymentService/Charge')",checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-south-1,us-south-1,308,308,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'paymentservice@POST@/hipstershop.PaymentService/Charge')",checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-west-1,us-west-1,289,289,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-central-1', 'shippingservice@POST@/hipstershop.ShippingService/ShipOrder')",checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-central-1,us-central-1,344,344,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'shippingservice@POST@/hipstershop.ShippingService/ShipOrder')",checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-east-1,us-east-1,361,361,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'shippingservice@POST@/hipstershop.ShippingService/ShipOrder')",checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-south-1,us-south-1,308,308,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'shippingservice@POST@/hipstershop.ShippingService/ShipOrder')",checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-west-1,us-west-1,289,289,1.0
"('frontend@POST@/cart/checkout', 'us-central-1', 'checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder')",frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-central-1,us-central-1,344,344,1.0
"('frontend@POST@/cart/checkout', 'us-east-1', 'checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder')",frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-east-1,us-east-1,361,361,1.0
"('frontend@POST@/cart/checkout', 'us-south-1', 'checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder')",frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-south-1,us-south-1,308,308,1.0
"('frontend@POST@/cart/checkout', 'us-west-1', 'checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder')",frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-west-1,us-west-1,289,289,1.0
"('frontend@POST@/cart/checkout', 'us-central-1', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations')",frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,us-central-1,344,344,1.0
"('frontend@POST@/cart/checkout', 'us-east-1', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations')",frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,us-east-1,361,361,1.0
"('frontend@POST@/cart/checkout', 'us-south-1', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations')",frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-south-1,us-south-1,308,308,1.0
"('frontend@POST@/cart/checkout', 'us-west-1', 'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations')",frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,us-west-1,289,289,1.0
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/checkout')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/checkout,XXXX,us-central-1,700,1300,0.5384615384615384
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/checkout')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/checkout,XXXX,us-east-1,400,1300,0.3076923076923077
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/checkout')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/checkout,XXXX,us-south-1,100,1300,0.07692307692307693
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/checkout')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/checkout,XXXX,us-west-1,100,1300,0.07692307692307693
