,svc_name,my_span_id,parent_span_id,trace_id,cluster_id,load,last_load,avg_load,rps,st,et,rt,xt,ct,child_spans,critical_child_spans,call_size,depth
331,reviews-v3,38ead5f8,a3c83ed9,2c7575183b608558a3c83ed95be6d395,0,3,2,2,0,430,435,5,5,5,[<span.Span object at 0x7f2f369047c0>],[<span.Span object at 0x7f2f369047c0>],20,2
332,reviews-v3,f9ca0669,92c99de0,616ba336d59f075f92c99de0b4863cdc,0,4,2,3,0,331,337,6,4,4,[<span.Span object at 0x7f2f36462b20>],[<span.Span object at 0x7f2f36462b20>],20,2
333,details-v1,dfd5ede8,92c99de0,616ba336d59f075f92c99de0b4863cdc,0,1,1,1,0,128,131,3,3,3,[],[],20,2
334,ratings-v1,318ac9ca,f9ca0669,616ba336d59f075f92c99de0b4863cdc,0,1,1,1,0,334,336,2,2,2,[],[],30,3
335,productpage-v1,92c99de0,,616ba336d59f075f92c99de0b4863cdc,0,40,34,37,0,0,545,545,536,536,"[<span.Span object at 0x7f2f364620a0>, <span.Span object at 0x7f2f36462160>]","[<span.Span object at 0x7f2f364620a0>, <span.Span object at 0x7f2f36462160>]",10,1
336,details-v1,d287d717,3168b326,b963f331bd55a1c63168b3264faf2ff2,0,1,1,1,0,53,55,2,2,2,[],[],20,2
337,productpage-v1,3168b326,,b963f331bd55a1c63168b3264faf2ff2,0,12,11,11,0,0,159,159,153,153,"[<span.Span object at 0x7f2f364e69a0>, <span.Span object at 0x7f2f364e6820>]","[<span.Span object at 0x7f2f364e6820>, <span.Span object at 0x7f2f364e69a0>]",10,1
338,ratings-v1,6b048de2,1f5bfa83,b963f331bd55a1c63168b3264faf2ff2,0,1,1,1,0,107,108,1,1,1,[],[],30,3
339,reviews-v3,1f5bfa83,3168b326,b963f331bd55a1c63168b3264faf2ff2,0,2,1,1,0,105,109,4,3,3,[<span.Span object at 0x7f2f364e68e0>],[<span.Span object at 0x7f2f364e68e0>],20,2
340,details-v1,e5a58416,87dabb6d,67e7dc0a5d87542287dabb6d75bd0303,0,1,1,1,0,35,39,4,4,4,[],[],20,2
341,productpage-v1,87dabb6d,,67e7dc0a5d87542287dabb6d75bd0303,0,12,16,14,0,0,151,151,141,141,"[<span.Span object at 0x7f2f357acdf0>, <span.Span object at 0x7f2f357ac580>]","[<span.Span object at 0x7f2f357ac580>, <span.Span object at 0x7f2f357acdf0>]",10,1
342,ratings-v1,b2e98c42,a080de23,67e7dc0a5d87542287dabb6d75bd0303,0,1,1,1,0,101,102,1,1,1,[],[],30,3
343,reviews-v3,a080de23,87dabb6d,67e7dc0a5d87542287dabb6d75bd0303,0,2,1,1,0,98,104,6,5,5,[<span.Span object at 0x7f2f357aca60>],[<span.Span object at 0x7f2f357aca60>],20,2
344,ratings-v1,bb7b61ba,fc180ad9,cff005dbc200439c42289eb4029bbc0e,0,1,1,1,0,363,364,1,1,1,[],[],30,3
345,details-v1,3c41adb0,42289eb4,cff005dbc200439c42289eb4029bbc0e,0,1,1,1,0,121,123,2,2,2,[],[],20,2
346,productpage-v1,42289eb4,,cff005dbc200439c42289eb4029bbc0e,0,42,34,38,0,0,598,598,587,587,"[<span.Span object at 0x7f2f356ad340>, <span.Span object at 0x7f2f356ad850>]","[<span.Span object at 0x7f2f356ad850>, <span.Span object at 0x7f2f356ad340>]",10,1
347,reviews-v3,fc180ad9,42289eb4,cff005dbc200439c42289eb4029bbc0e,0,2,1,1,0,359,368,9,8,8,[<span.Span object at 0x7f2f356ad400>],[<span.Span object at 0x7f2f356ad400>],20,2
348,ratings-v1,4f6bafc1,2988674a,1c26deccddc4fe04d73d3fa411ce1d2c,0,1,1,1,0,293,294,1,1,1,[],[],30,3
349,details-v1,57244544,d73d3fa4,1c26deccddc4fe04d73d3fa411ce1d2c,0,1,1,1,0,160,164,4,4,4,[],[],20,2
350,productpage-v1,d73d3fa4,,1c26deccddc4fe04d73d3fa411ce1d2c,0,40,34,37,0,0,531,531,516,516,"[<span.Span object at 0x7f2f35651c10>, <span.Span object at 0x7f2f35651cd0>]","[<span.Span object at 0x7f2f35651cd0>, <span.Span object at 0x7f2f35651c10>]",10,1
351,reviews-v3,2988674a,d73d3fa4,1c26deccddc4fe04d73d3fa411ce1d2c,0,3,3,3,0,291,302,11,10,10,[<span.Span object at 0x7f2f35651940>],[<span.Span object at 0x7f2f35651940>],20,2
352,ratings-v1,e2b6be49,55224ee1,5e2c9195cb3d9e01bb67671b4334eb72,0,1,1,1,0,377,378,1,1,1,[],[],30,3
353,details-v1,0a3d3723,bb67671b,5e2c9195cb3d9e01bb67671b4334eb72,0,1,1,1,0,136,187,51,51,51,[],[],20,2
354,productpage-v1,bb67671b,,5e2c9195cb3d9e01bb67671b4334eb72,0,35,43,39,0,0,627,627,572,572,"[<span.Span object at 0x7f2f36535190>, <span.Span object at 0x7f2f36535ca0>]","[<span.Span object at 0x7f2f36535ca0>, <span.Span object at 0x7f2f36535190>]",10,1
355,reviews-v3,55224ee1,bb67671b,5e2c9195cb3d9e01bb67671b4334eb72,0,2,1,1,0,375,379,4,3,3,[<span.Span object at 0x7f2f365357f0>],[<span.Span object at 0x7f2f365357f0>],20,2
356,details-v1,dff29344,ecd5017e,892be0cd5e962173ecd5017ead58356f,0,1,1,1,0,161,163,2,2,2,[],[],20,2
357,productpage-v1,ecd5017e,,892be0cd5e962173ecd5017ead58356f,0,41,38,39,0,0,649,649,638,638,"[<span.Span object at 0x7f2f35de3a60>, <span.Span object at 0x7f2f35deb3a0>]","[<span.Span object at 0x7f2f35deb3a0>, <span.Span object at 0x7f2f35de3a60>]",10,1
358,reviews-v3,9f30ddd8,ecd5017e,892be0cd5e962173ecd5017ead58356f,0,2,1,1,0,431,440,9,7,7,[<span.Span object at 0x7f2f35deb580>],[<span.Span object at 0x7f2f35deb580>],20,2
359,ratings-v1,44172fce,9f30ddd8,892be0cd5e962173ecd5017ead58356f,0,1,1,1,0,436,438,2,2,2,[],[],30,3
360,reviews-v3,35cb84df,4a22d2fd,72044a8960a63e4a4a22d2fd551a0782,0,2,1,1,0,420,425,5,4,4,[<span.Span object at 0x7f2f355d8850>],[<span.Span object at 0x7f2f355d8850>],20,2
361,details-v1,e28a4a38,4a22d2fd,72044a8960a63e4a4a22d2fd551a0782,0,1,1,1,0,172,174,2,2,2,[],[],20,2
362,productpage-v1,4a22d2fd,,72044a8960a63e4a4a22d2fd551a0782,0,50,45,47,0,0,717,717,710,710,"[<span.Span object at 0x7f2f355d8100>, <span.Span object at 0x7f2f355d8910>]","[<span.Span object at 0x7f2f355d8100>, <span.Span object at 0x7f2f355d8910>]",10,1
363,ratings-v1,6875d6fe,35cb84df,72044a8960a63e4a4a22d2fd551a0782,0,1,1,1,0,423,424,1,1,1,[],[],30,3
364,ratings-v1,ea7d16d2,ea144001,24545e0a8047d19dbb3bfd2dfc60dce9,0,1,1,1,0,366,367,1,1,1,[],[],30,3
365,details-v1,cdf7a511,bb3bfd2d,24545e0a8047d19dbb3bfd2dfc60dce9,0,1,1,1,0,118,160,42,42,42,[],[],20,2
366,productpage-v1,bb3bfd2d,,24545e0a8047d19dbb3bfd2dfc60dce9,0,43,40,41,0,0,582,582,529,529,"[<span.Span object at 0x7f2f35d8a790>, <span.Span object at 0x7f2f35d8ab50>]","[<span.Span object at 0x7f2f35d8ab50>, <span.Span object at 0x7f2f35d8a790>]",10,1
367,reviews-v3,ea144001,bb3bfd2d,24545e0a8047d19dbb3bfd2dfc60dce9,0,4,3,3,0,360,371,11,10,10,[<span.Span object at 0x7f2f35d8a310>],[<span.Span object at 0x7f2f35d8a310>],20,2
368,productpage-v1,875126f0,,757f43b9f554f088875126f0aaea9218,0,39,40,39,0,0,771,771,758,758,"[<span.Span object at 0x7f2f35121bb0>, <span.Span object at 0x7f2f35121370>]","[<span.Span object at 0x7f2f35121370>, <span.Span object at 0x7f2f35121bb0>]",10,1
369,ratings-v1,e6ef540b,515559f2,757f43b9f554f088875126f0aaea9218,0,1,1,1,0,492,493,1,1,1,[],[],30,3
370,details-v1,1490f804,875126f0,757f43b9f554f088875126f0aaea9218,0,1,1,1,0,248,251,3,3,3,[],[],20,2
371,reviews-v3,515559f2,875126f0,757f43b9f554f088875126f0aaea9218,0,4,5,4,0,485,495,10,9,9,[<span.Span object at 0x7f2f35121970>],[<span.Span object at 0x7f2f35121970>],20,2
372,productpage-v1,94ec5dc3,,9ef83b9bdf50291094ec5dc35339084e,0,40,39,39,0,0,629,629,620,620,"[<span.Span object at 0x7f2f354f2fa0>, <span.Span object at 0x7f2f354f2be0>]","[<span.Span object at 0x7f2f354f2be0>, <span.Span object at 0x7f2f354f2fa0>]",10,1
373,ratings-v1,7aed665d,a1e4f98a,9ef83b9bdf50291094ec5dc35339084e,0,1,1,1,0,380,381,1,1,1,[],[],30,3
374,details-v1,2b060358,94ec5dc3,9ef83b9bdf50291094ec5dc35339084e,0,1,1,1,0,118,120,2,2,2,[],[],20,2
375,reviews-v3,a1e4f98a,94ec5dc3,9ef83b9bdf50291094ec5dc35339084e,0,5,5,5,0,377,384,7,6,6,[<span.Span object at 0x7f2f354f2ca0>],[<span.Span object at 0x7f2f354f2ca0>],20,2
376,reviews-v3,6a1f0b5e,c0303b13,8c7a0ea0a7f79a38c0303b137e58c7e7,0,2,2,2,0,436,442,6,5,5,[<span.Span object at 0x7f2f35496400>],[<span.Span object at 0x7f2f35496400>],20,2
377,details-v1,49eaa7c9,c0303b13,8c7a0ea0a7f79a38c0303b137e58c7e7,0,1,1,1,0,157,158,1,1,1,[],[],20,2
378,productpage-v1,c0303b13,,8c7a0ea0a7f79a38c0303b137e58c7e7,0,50,47,48,0,0,748,748,741,741,"[<span.Span object at 0x7f2f35496700>, <span.Span object at 0x7f2f35496370>]","[<span.Span object at 0x7f2f35496700>, <span.Span object at 0x7f2f35496370>]",10,1
379,ratings-v1,152970a7,6a1f0b5e,8c7a0ea0a7f79a38c0303b137e58c7e7,0,1,1,1,0,439,440,1,1,1,[],[],30,3
380,details-v1,afa0d23d,8d2fdf25,2ebdb1a974569fc38d2fdf2559283124,0,1,1,1,0,197,199,2,2,2,[],[],20,2
381,productpage-v1,8d2fdf25,,2ebdb1a974569fc38d2fdf2559283124,0,48,40,44,0,0,103,103,95,103,"[<span.Span object at 0x7f2f36547d00>, <span.Span object at 0x7f2f36547130>]",[],10,1
382,ratings-v1,d5638ebd,75f77362,2ebdb1a974569fc38d2fdf2559283124,0,1,1,1,0,398,399,1,1,1,[],[],30,3
383,reviews-v3,75f77362,8d2fdf25,2ebdb1a974569fc38d2fdf2559283124,0,4,1,2,0,396,402,6,5,5,[<span.Span object at 0x7f2f36547280>],[<span.Span object at 0x7f2f36547280>],20,2
384,ratings-v1,ac5729ef,d29b342b,6ba6d2ccd65e5943b82f64acb022355a,0,1,1,1,0,23,24,1,1,1,[],[],30,3
385,details-v1,077c459b,b82f64ac,6ba6d2ccd65e5943b82f64acb022355a,0,1,1,1,0,10,12,2,2,2,[],[],20,2
386,productpage-v1,b82f64ac,,6ba6d2ccd65e5943b82f64acb022355a,0,12,11,11,0,0,29,29,20,20,"[<span.Span object at 0x7f2f354d9a30>, <span.Span object at 0x7f2f354d9af0>]","[<span.Span object at 0x7f2f354d9af0>, <span.Span object at 0x7f2f354d9a30>]",10,1
387,reviews-v3,d29b342b,b82f64ac,6ba6d2ccd65e5943b82f64acb022355a,0,5,4,4,0,19,26,7,6,6,[<span.Span object at 0x7f2f354d9970>],[<span.Span object at 0x7f2f354d9970>],20,2
388,ratings-v1,d70fd399,80e1b156,1b2addeffe598c8bf43b851cf240b536,0,1,1,1,0,22,23,1,1,1,[],[],30,3
389,details-v1,f9bdd671,f43b851c,1b2addeffe598c8bf43b851cf240b536,0,1,1,1,0,8,11,3,3,3,[],[],20,2
390,productpage-v1,f43b851c,,1b2addeffe598c8bf43b851cf240b536,0,12,11,11,0,0,29,29,18,18,"[<span.Span object at 0x7f2f354ae700>, <span.Span object at 0x7f2f354ae220>]","[<span.Span object at 0x7f2f354ae220>, <span.Span object at 0x7f2f354ae700>]",10,1
391,reviews-v3,80e1b156,f43b851c,1b2addeffe598c8bf43b851cf240b536,0,5,4,4,0,18,26,8,7,7,[<span.Span object at 0x7f2f354ae7f0>],[<span.Span object at 0x7f2f354ae7f0>],20,2
392,productpage-v1,9a64f22f,,e71700af984d83eb9a64f22f6feffd30,0,12,11,11,0,0,35,35,22,22,"[<span.Span object at 0x7f2f354bbaf0>, <span.Span object at 0x7f2f354bb250>]","[<span.Span object at 0x7f2f354bbaf0>, <span.Span object at 0x7f2f354bb250>]",10,1
393,reviews-v3,eaab040a,9a64f22f,e71700af984d83eb9a64f22f6feffd30,0,5,4,4,0,21,31,10,9,9,[<span.Span object at 0x7f2f354bb970>],[<span.Span object at 0x7f2f354bb970>],20,2
394,ratings-v1,76bbef8b,eaab040a,e71700af984d83eb9a64f22f6feffd30,0,1,1,1,0,28,29,1,1,1,[],[],30,3
395,details-v1,a061b85c,9a64f22f,e71700af984d83eb9a64f22f6feffd30,0,1,1,1,0,10,13,3,3,3,[],[],20,2
396,productpage-v1,04d10a52,,51092c7917ebd57d04d10a529260b5a2,0,12,11,11,0,0,28,28,19,19,"[<span.Span object at 0x7f2f35460d60>, <span.Span object at 0x7f2f35460e20>]","[<span.Span object at 0x7f2f35460d60>, <span.Span object at 0x7f2f35460e20>]",10,1
397,reviews-v3,b8a26816,04d10a52,51092c7917ebd57d04d10a529260b5a2,0,5,4,4,0,18,25,7,6,6,[<span.Span object at 0x7f2f35460be0>],[<span.Span object at 0x7f2f35460be0>],20,2
398,ratings-v1,dab566b3,b8a26816,51092c7917ebd57d04d10a529260b5a2,0,1,1,1,0,22,23,1,1,1,[],[],30,3
399,details-v1,556b135e,04d10a52,51092c7917ebd57d04d10a529260b5a2,0,1,1,1,0,11,13,2,2,2,[],[],20,2
400,details-v1,ff0fbe88,93aaef52,6b678781c238707c93aaef52b7b2c233,0,1,1,1,0,14,16,2,2,2,[],[],20,2
401,productpage-v1,93aaef52,,6b678781c238707c93aaef52b7b2c233,0,12,11,11,0,0,30,30,22,22,"[<span.Span object at 0x7f2f363c59d0>, <span.Span object at 0x7f2f363c5700>]","[<span.Span object at 0x7f2f363c5700>, <span.Span object at 0x7f2f363c59d0>]",10,1
402,reviews-v3,bb4f128c,93aaef52,6b678781c238707c93aaef52b7b2c233,0,5,4,4,0,21,27,6,5,5,[<span.Span object at 0x7f2f363c57c0>],[<span.Span object at 0x7f2f363c57c0>],20,2
403,ratings-v1,85fa0407,bb4f128c,6b678781c238707c93aaef52b7b2c233,0,1,1,1,0,25,26,1,1,1,[],[],30,3
404,productpage-v1,840474e8,,298f72daa0cc8b76840474e8c8a6df20,0,12,11,11,0,0,22,22,15,15,"[<span.Span object at 0x7f2f35183af0>, <span.Span object at 0x7f2f35183820>]","[<span.Span object at 0x7f2f35183af0>, <span.Span object at 0x7f2f35183820>]",10,1
405,reviews-v3,585adb21,840474e8,298f72daa0cc8b76840474e8c8a6df20,0,5,4,4,0,15,20,5,4,4,[<span.Span object at 0x7f2f351831f0>],[<span.Span object at 0x7f2f351831f0>],20,2
406,ratings-v1,c24a3ffb,585adb21,298f72daa0cc8b76840474e8c8a6df20,0,1,1,1,0,17,18,1,1,1,[],[],30,3
407,details-v1,804e5ded,840474e8,298f72daa0cc8b76840474e8c8a6df20,0,1,1,1,0,7,9,2,2,2,[],[],20,2
408,productpage-v1,3f40caa1,,a22ad9a86a99dcd63f40caa16fe83701,0,13,11,12,0,0,30,30,23,23,"[<span.Span object at 0x7f2f3541dc10>, <span.Span object at 0x7f2f3541dd90>]","[<span.Span object at 0x7f2f3541dc10>, <span.Span object at 0x7f2f3541dd90>]",10,1
409,reviews-v3,afba7972,3f40caa1,a22ad9a86a99dcd63f40caa16fe83701,0,5,4,4,0,22,27,5,4,4,[<span.Span object at 0x7f2f3541d310>],[<span.Span object at 0x7f2f3541d310>],20,2
410,ratings-v1,6ef7c17b,afba7972,a22ad9a86a99dcd63f40caa16fe83701,0,1,1,1,0,25,26,1,1,1,[],[],30,3
411,details-v1,f5a12a14,3f40caa1,a22ad9a86a99dcd63f40caa16fe83701,0,1,1,1,0,6,8,2,2,2,[],[],20,2
412,productpage-v1,a825cf1e,,4bdc079bcfbf0103a825cf1ee0793ec7,0,13,11,12,0,0,26,26,18,18,"[<span.Span object at 0x7f2f3519bd30>, <span.Span object at 0x7f2f3519be50>]","[<span.Span object at 0x7f2f3519bd30>, <span.Span object at 0x7f2f3519be50>]",10,1
413,reviews-v3,3b67030c,a825cf1e,4bdc079bcfbf0103a825cf1ee0793ec7,0,6,4,5,0,17,23,6,5,5,[<span.Span object at 0x7f2f3519b0d0>],[<span.Span object at 0x7f2f3519b0d0>],20,2
414,ratings-v1,ac2d6eaf,3b67030c,4bdc079bcfbf0103a825cf1ee0793ec7,0,1,1,1,0,20,21,1,1,1,[],[],30,3
415,details-v1,3ffb2276,a825cf1e,4bdc079bcfbf0103a825cf1ee0793ec7,0,1,1,1,0,11,13,2,2,2,[],[],20,2
416,ratings-v1,39524a14,dbd292cc,9c0ee6f3695535800306391f9e4be378,0,1,1,1,0,23,26,3,3,3,[],[],30,3
417,details-v1,663d99a8,0306391f,9c0ee6f3695535800306391f9e4be378,0,1,1,1,0,9,12,3,3,3,[],[],20,2
418,productpage-v1,0306391f,,9c0ee6f3695535800306391f9e4be378,0,12,11,11,0,0,32,32,18,18,"[<span.Span object at 0x7f2f35140370>, <span.Span object at 0x7f2f35140670>]","[<span.Span object at 0x7f2f35140670>, <span.Span object at 0x7f2f35140370>]",10,1
419,reviews-v3,dbd292cc,0306391f,9c0ee6f3695535800306391f9e4be378,0,5,4,4,0,17,28,11,8,8,[<span.Span object at 0x7f2f351404f0>],[<span.Span object at 0x7f2f351404f0>],20,2
420,productpage-v1,2532c317,,88734ef71cef5ffd2532c317db00fcbc,0,12,11,11,0,0,25,25,16,16,"[<span.Span object at 0x7f2f35d4fac0>, <span.Span object at 0x7f2f35d4fa00>]","[<span.Span object at 0x7f2f35d4fac0>, <span.Span object at 0x7f2f35d4fa00>]",10,1
421,reviews-v3,4b7d11d5,2532c317,88734ef71cef5ffd2532c317db00fcbc,0,5,4,4,0,15,22,7,5,5,[<span.Span object at 0x7f2f35d4f880>],[<span.Span object at 0x7f2f35d4f880>],20,2
422,ratings-v1,7fb5b078,4b7d11d5,88734ef71cef5ffd2532c317db00fcbc,0,1,1,1,0,18,20,2,2,2,[],[],30,3
423,details-v1,b6039970,2532c317,88734ef71cef5ffd2532c317db00fcbc,0,1,1,1,0,8,10,2,2,2,[],[],20,2
424,ratings-v1,94d90e19,eccdcd11,574b229bd5cc481a2e82db38373d4978,0,1,1,1,0,29,31,2,2,2,[],[],30,3
425,details-v1,ee3a08ca,2e82db38,574b229bd5cc481a2e82db38373d4978,0,1,1,1,0,13,16,3,3,3,[],[],20,2
426,productpage-v1,2e82db38,,574b229bd5cc481a2e82db38373d4978,0,12,12,12,0,0,40,40,31,31,"[<span.Span object at 0x7f2f3638f3d0>, <span.Span object at 0x7f2f3638f310>]","[<span.Span object at 0x7f2f3638f310>, <span.Span object at 0x7f2f3638f3d0>]",10,1
427,reviews-v3,eccdcd11,2e82db38,574b229bd5cc481a2e82db38373d4978,0,5,5,5,0,27,33,6,4,4,[<span.Span object at 0x7f2f3638f4c0>],[<span.Span object at 0x7f2f3638f4c0>],20,2
428,productpage-v1,5644255a,,6d55b2a40f5d42175644255a96c0878b,0,12,13,12,0,0,44,44,29,29,"[<span.Span object at 0x7f2f34d8c730>, <span.Span object at 0x7f2f34d8c430>]","[<span.Span object at 0x7f2f34d8c730>, <span.Span object at 0x7f2f34d8c430>]",10,1
429,reviews-v3,09494ce8,5644255a,6d55b2a40f5d42175644255a96c0878b,0,5,4,4,0,24,32,8,7,7,[<span.Span object at 0x7f2f34d8c370>],[<span.Span object at 0x7f2f34d8c370>],20,2
430,ratings-v1,ceaa58ef,09494ce8,6d55b2a40f5d42175644255a96c0878b,0,1,1,1,0,29,30,1,1,1,[],[],30,3
431,details-v1,00825a22,5644255a,6d55b2a40f5d42175644255a96c0878b,0,1,1,1,0,9,16,7,7,7,[],[],20,2
432,productpage-v1,495c40a7,,bbbeb16df109d13f495c40a7eefc5fb1,0,12,13,12,0,0,49,49,39,39,"[<span.Span object at 0x7f2f34d8c2b0>, <span.Span object at 0x7f2f34d8cbb0>]","[<span.Span object at 0x7f2f34d8c2b0>, <span.Span object at 0x7f2f34d8cbb0>]",10,1
433,reviews-v3,b4ca6edc,495c40a7,bbbeb16df109d13f495c40a7eefc5fb1,0,6,5,5,0,36,43,7,6,6,[<span.Span object at 0x7f2f34d8c670>],[<span.Span object at 0x7f2f34d8c670>],20,2
434,ratings-v1,183ed1c3,b4ca6edc,bbbeb16df109d13f495c40a7eefc5fb1,0,1,1,1,0,40,41,1,1,1,[],[],30,3
435,details-v1,746d1688,495c40a7,bbbeb16df109d13f495c40a7eefc5fb1,0,1,1,1,0,15,18,3,3,3,[],[],20,2
436,productpage-v1,3a8f8f48,,ba13f5323613f8103a8f8f485163726f,0,12,11,11,0,0,25,25,17,17,"[<span.Span object at 0x7f2f3527c340>, <span.Span object at 0x7f2f3527c370>]","[<span.Span object at 0x7f2f3527c340>, <span.Span object at 0x7f2f3527c370>]",10,1
437,reviews-v3,b637d153,3a8f8f48,ba13f5323613f8103a8f8f485163726f,0,5,4,4,0,17,23,6,4,4,[<span.Span object at 0x7f2f3527c490>],[<span.Span object at 0x7f2f3527c490>],20,2
438,ratings-v1,815d44ae,b637d153,ba13f5323613f8103a8f8f485163726f,0,1,1,1,0,20,22,2,2,2,[],[],30,3
439,details-v1,7a8125a8,3a8f8f48,ba13f5323613f8103a8f8f485163726f,0,1,1,1,0,10,12,2,2,2,[],[],20,2
440,details-v1,893b1764,09240553,8879d91fde48c184092405531b801393,0,1,1,1,0,10,12,2,2,2,[],[],20,2
441,productpage-v1,09240553,,8879d91fde48c184092405531b801393,0,12,11,11,0,0,30,30,21,21,"[<span.Span object at 0x7f2f3514cb80>, <span.Span object at 0x7f2f3514c1f0>]","[<span.Span object at 0x7f2f3514c1f0>, <span.Span object at 0x7f2f3514cb80>]",10,1
442,reviews-v3,49563dc2,09240553,8879d91fde48c184092405531b801393,0,5,4,4,0,19,26,7,6,6,[<span.Span object at 0x7f2f3514cac0>],[<span.Span object at 0x7f2f3514cac0>],20,2
443,ratings-v1,5d17ae32,49563dc2,8879d91fde48c184092405531b801393,0,1,1,1,0,23,24,1,1,1,[],[],30,3
444,ratings-v1,c3efe466,15b06125,4407edb71a7df544cab737cb12b82c1f,0,1,1,1,0,20,21,1,1,1,[],[],30,3
445,details-v1,64db245a,cab737cb,4407edb71a7df544cab737cb12b82c1f,0,1,1,1,0,9,11,2,2,2,[],[],20,2
446,productpage-v1,cab737cb,,4407edb71a7df544cab737cb12b82c1f,0,12,11,11,0,0,26,26,18,18,"[<span.Span object at 0x7f2f36359160>, <span.Span object at 0x7f2f36359190>]","[<span.Span object at 0x7f2f36359190>, <span.Span object at 0x7f2f36359160>]",10,1
447,reviews-v3,15b06125,cab737cb,4407edb71a7df544cab737cb12b82c1f,0,5,4,4,0,17,23,6,5,5,[<span.Span object at 0x7f2f363590d0>],[<span.Span object at 0x7f2f363590d0>],20,2
448,productpage-v1,90762be7,,d8b0f59a7b4e517b90762be7924179fa,0,12,11,11,0,0,27,27,19,19,"[<span.Span object at 0x7f2f34e962b0>, <span.Span object at 0x7f2f34e96af0>]","[<span.Span object at 0x7f2f34e962b0>, <span.Span object at 0x7f2f34e96af0>]",10,1
449,reviews-v3,aab163f0,90762be7,d8b0f59a7b4e517b90762be7924179fa,0,5,4,4,0,19,24,5,4,4,[<span.Span object at 0x7f2f34e96070>],[<span.Span object at 0x7f2f34e96070>],20,2
450,ratings-v1,8ba50fb1,aab163f0,d8b0f59a7b4e517b90762be7924179fa,0,1,1,1,0,21,22,1,1,1,[],[],30,3
451,details-v1,4bbb725d,90762be7,d8b0f59a7b4e517b90762be7924179fa,0,1,1,1,0,10,13,3,3,3,[],[],20,2
452,productpage-v1,33eef7b1,,74056674b6520aef33eef7b1dd445595,0,14,12,13,0,0,33,33,24,24,"[<span.Span object at 0x7f2f35be4310>, <span.Span object at 0x7f2f35be4850>]","[<span.Span object at 0x7f2f35be4310>, <span.Span object at 0x7f2f35be4850>]",10,1
453,reviews-v3,b09016f7,33eef7b1,74056674b6520aef33eef7b1dd445595,0,6,5,5,0,23,28,5,3,3,[<span.Span object at 0x7f2f35be4d30>],[<span.Span object at 0x7f2f35be4d30>],20,2
454,ratings-v1,2c0d6cbe,b09016f7,74056674b6520aef33eef7b1dd445595,0,1,1,1,0,25,27,2,2,2,[],[],30,3
455,details-v1,7ff5fa3d,33eef7b1,74056674b6520aef33eef7b1dd445595,0,1,1,1,0,9,13,4,4,4,[],[],20,2
456,productpage-v1,1db14d9f,,c6ff7e98d47229b51db14d9f1ed86a5c,0,15,12,13,0,0,27,27,21,21,"[<span.Span object at 0x7f2f353cfa60>, <span.Span object at 0x7f2f353cfdc0>]","[<span.Span object at 0x7f2f353cfa60>, <span.Span object at 0x7f2f353cfdc0>]",10,1
457,reviews-v3,dd527d6d,1db14d9f,c6ff7e98d47229b51db14d9f1ed86a5c,0,5,4,4,0,20,24,4,3,3,[<span.Span object at 0x7f2f353cfac0>],[<span.Span object at 0x7f2f353cfac0>],20,2
458,ratings-v1,d52d044f,dd527d6d,c6ff7e98d47229b51db14d9f1ed86a5c,0,1,1,1,0,22,23,1,1,1,[],[],30,3
459,details-v1,45f93067,1db14d9f,c6ff7e98d47229b51db14d9f1ed86a5c,0,1,1,1,0,12,14,2,2,2,[],[],20,2
460,productpage-v1,0d408c1e,,cebd43f98aef92730d408c1ec7cbdad0,0,12,13,12,0,0,50,50,39,39,"[<span.Span object at 0x7f2f353994c0>, <span.Span object at 0x7f2f35399a00>]","[<span.Span object at 0x7f2f353994c0>, <span.Span object at 0x7f2f35399a00>]",10,1
461,reviews-v3,e8b55ca1,0d408c1e,cebd43f98aef92730d408c1ec7cbdad0,0,7,4,5,0,34,41,7,5,5,[<span.Span object at 0x7f2f35399580>],[<span.Span object at 0x7f2f35399580>],20,2
462,ratings-v1,544e215a,e8b55ca1,cebd43f98aef92730d408c1ec7cbdad0,0,1,1,1,0,37,39,2,2,2,[],[],30,3
463,details-v1,805ba215,0d408c1e,cebd43f98aef92730d408c1ec7cbdad0,0,1,1,1,0,18,22,4,4,4,[],[],20,2
464,productpage-v1,f67ecdb6,,80b4767faeb801b9f67ecdb659fb5e40,0,13,15,14,0,0,59,59,52,52,"[<span.Span object at 0x7f2f34f1b8e0>, <span.Span object at 0x7f2f350735b0>]","[<span.Span object at 0x7f2f34f1b8e0>, <span.Span object at 0x7f2f350735b0>]",10,1
465,reviews-v3,85f829e0,f67ecdb6,80b4767faeb801b9f67ecdb659fb5e40,0,6,5,5,0,40,45,5,4,4,[<span.Span object at 0x7f2f35073130>],[<span.Span object at 0x7f2f35073130>],20,2
466,ratings-v1,92aec3ad,85f829e0,80b4767faeb801b9f67ecdb659fb5e40,0,1,1,1,0,42,43,1,1,1,[],[],30,3
467,details-v1,512e6dea,f67ecdb6,80b4767faeb801b9f67ecdb659fb5e40,0,1,1,1,0,16,18,2,2,2,[],[],20,2
468,productpage-v1,bd32e2a1,,9ac390ee411c65c8bd32e2a1e78898b0,0,14,13,13,0,0,69,69,62,62,"[<span.Span object at 0x7f2f35b04cd0>, <span.Span object at 0x7f2f35b04520>]","[<span.Span object at 0x7f2f35b04cd0>, <span.Span object at 0x7f2f35b04520>]",10,1
