,svc_name,my_span_id,parent_span_id,trace_id,cluster_id,load,last_load,avg_load,rps,st,et,rt,xt,ct,child_spans,critical_child_spans,call_size,depth
27,productpage-v1,aa7960ac,,5e0b4f803dca9032aa7960aca1a18506,0,3,2,2,0,0,25,25,15,15,"[<span.Span object at 0x7f2f355f1c40>, <span.Span object at 0x7f2f355f1c10>]","[<span.Span object at 0x7f2f355f1c40>, <span.Span object at 0x7f2f355f1c10>]",10,1
28,ratings-v1,23985921,3cc689c6,835ebd79a32de40fc49bff7f62cdcdbd,0,1,1,1,0,18,19,1,1,1,[],[],30,3
29,productpage-v1,c49bff7f,,835ebd79a32de40fc49bff7f62cdcdbd,0,4,2,3,0,0,24,24,17,17,"[<span.Span object at 0x7f2f3560eac0>, <span.Span object at 0x7f2f3560e9d0>]","[<span.Span object at 0x7f2f3560eac0>, <span.Span object at 0x7f2f3560e9d0>]",10,1
30,reviews-v3,3cc689c6,c49bff7f,835ebd79a32de40fc49bff7f62cdcdbd,0,1,1,1,0,16,21,5,4,4,[<span.Span object at 0x7f2f3560ea90>],[<span.Span object at 0x7f2f3560ea90>],20,2
31,details-v1,e251fb9a,c49bff7f,835ebd79a32de40fc49bff7f62cdcdbd,0,1,1,1,0,7,9,2,2,2,[],[],20,2
32,reviews-v3,f8a52232,9c9d4351,bf155b018bc5f7e89c9d43519d3deb5b,0,2,1,1,0,48,55,7,5,5,[<span.Span object at 0x7f2f3565ee20>],[<span.Span object at 0x7f2f3565ee20>],20,2
33,details-v1,384863b1,9c9d4351,bf155b018bc5f7e89c9d43519d3deb5b,0,1,1,1,0,22,26,4,4,4,[],[],20,2
34,ratings-v1,67bc8b12,f8a52232,bf155b018bc5f7e89c9d43519d3deb5b,0,1,1,1,0,52,54,2,2,2,[],[],30,3
35,productpage-v1,9c9d4351,,bf155b018bc5f7e89c9d43519d3deb5b,0,4,3,3,0,0,67,67,56,56,"[<span.Span object at 0x7f2f3565edf0>, <span.Span object at 0x7f2f3565edc0>]","[<span.Span object at 0x7f2f3565edf0>, <span.Span object at 0x7f2f3565edc0>]",10,1
36,reviews-v3,3c4d093a,cf6383c1,197ed55226cf9807cf6383c15d5ffe6c,0,2,1,1,0,19,25,6,5,5,[<span.Span object at 0x7f2f356ad880>],[<span.Span object at 0x7f2f356ad880>],20,2
37,details-v1,a3d6345f,cf6383c1,197ed55226cf9807cf6383c15d5ffe6c,0,1,1,1,0,7,10,3,3,3,[],[],20,2
38,ratings-v1,ac924160,3c4d093a,197ed55226cf9807cf6383c15d5ffe6c,0,1,1,1,0,22,23,1,1,1,[],[],30,3
